date,time,home,away,competition,title,url
2025-01-19,16:00,حسنية اغادير,المغرب الفاسي | يلاكورة,morrocan league,مباراة حسنية اغادير و المغرب الفاسي | يلاكورة,https://www.yallakora.com/morrocan-league/2933/match/100949/%d8%ad%d8%b3%d9%86%d9%8a%d8%a9-%d8%a7%d8%ba%d8%a7%d8%af%d9%8a%d8%b1-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d8%a7%d9%84%d9%81%d8%a7%d8%b3%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a
2025-01-19,16:00,سانت اتيان,نانت | يلاكورة,ligue1,مباراة سانت اتيان و نانت | يلاكورة,https://www.yallakora.com/ligue1/2908/match/100669/%d8%b3%d8%a7%d9%86%d8%aa-%d8%a7%d8%aa%d9%8a%d8%a7%d9%86-%d9%86%d8%a7%d9%86%d8%aa-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a
2025-01-19,16:00,كالياري,ليتشي | يلاكورة,serie a,مباراة كالياري و ليتشي | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100368/%d9%83%d8%a7%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%84%d9%8a%d8%aa%d8%b4%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
2025-01-19,16:00,مانشستر يونايتد,برايتون | يلاكورة,epl,مباراة مانشستر يونايتد و برايتون | يلاكورة,https://www.yallakora.com/epl/2906/match/97871/%d9%85%d8%a7%d9%86%d8%b4%d8%b3%d8%aa%d8%b1-%d9%8a%d9%88%d9%86%d8%a7%d9%8a%d8%aa%d8%af-%d8%a8%d8%b1%d8%a7%d9%8a%d8%aa%d9%88%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a
2025-01-19,16:00,نوتينجهام فورست,ساوثامبتون | يلاكورة,epl,مباراة نوتينجهام فورست و ساوثامبتون | يلاكورة,https://www.yallakora.com/epl/2906/match/98074/%d9%86%d9%88%d8%aa%d9%8a%d9%86%d8%ac%d9%87%d8%a7%d9%85-%d9%81%d9%88%d8%b1%d8%b3%d8%aa-%d8%b3%d8%a7%d9%88%d8%ab%d8%a7%d9%85%d8%a8%d8%aa%d9%88%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a
2025-01-19,16:30,يونيون برلين,ماينز | يلاكورة,bundesliga,مباراة يونيون برلين و ماينز | يلاكورة,https://www.yallakora.com/bundesliga/2909/match/100603/%d9%8a%d9%88%d9%86%d9%8a%d9%88%d9%86-%d8%a8%d8%b1%d9%84%d9%8a%d9%86-%d9%85%d8%a7%d9%8a%d9%86%d8%b2-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a
2025-01-19,17:15,ريال مدريد,لاس بالماس | يلاكورة,la liga,مباراة ريال مدريد و لاس بالماس | يلاكورة,https://www.yallakora.com/la-liga/2907/match/100384/%d8%b1%d9%8a%d8%a7%d9%84-%d9%85%d8%af%d8%b1%d9%8a%d8%af-%d9%84%d8%a7%d8%b3-%d8%a8%d8%a7%d9%84%d9%85%d8%a7%d8%b3-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a
2025-01-19,18:00,أضنة دمير سبور,فنربخشة | يلاكورة,turkish super lig,مباراة أضنة دمير سبور و فنربخشة | يلاكورة,https://www.yallakora.com/turkish-super-lig/2930/match/100931/%d8%a3%d8%b6%d9%86%d8%a9-%d8%af%d9%85%d9%8a%d8%b1-%d8%b3%d8%a8%d9%88%d8%b1-%d9%81%d9%86%d8%b1%d8%a8%d8%ae%d8%b4%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a
2025-01-19,18:00,ايوبسبور,ألانيا سبور | يلاكورة,turkish super lig,مباراة ايوبسبور و ألانيا سبور | يلاكورة,https://www.yallakora.com/turkish-super-lig/2930/match/100930/%d8%a7%d9%8a%d9%88%d8%a8%d8%b3%d8%a8%d9%88%d8%b1-%d8%a3%d9%84%d8%a7%d9%86%d9%8a%d8%a7-%d8%b3%d8%a8%d9%88%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a
2025-01-19,18:15,أنجيه,اوكسير | يلاكورة,ligue1,مباراة أنجيه و اوكسير | يلاكورة,https://www.yallakora.com/ligue1/2908/match/100671/%d8%a3%d9%86%d8%ac%d9%8a%d9%87-%d8%a7%d9%88%d9%83%d8%b3%d9%8a%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a
2025-01-19,18:15,ريمس,لوهافر | يلاكورة,ligue1,مباراة ريمس و لوهافر | يلاكورة,https://www.yallakora.com/ligue1/2908/match/100670/%d8%b1%d9%8a%d9%85%d8%b3-%d9%84%d9%88%d9%87%d8%a7%d9%81%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a
2025-01-19,18:30,إيبسويتش تاون,مانشستر سيتي | يلاكورة,epl,مباراة إيبسويتش تاون و مانشستر سيتي | يلاكورة,https://www.yallakora.com/epl/2906/match/97879/%d8%a5%d9%8a%d8%a8%d8%b3%d9%88%d9%8a%d8%aa%d8%b4-%d8%aa%d8%a7%d9%88%d9%86-%d9%85%d8%a7%d9%86%d8%b4%d8%b3%d8%aa%d8%b1-%d8%b3%d9%8a%d8%aa%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a
2025-01-19,18:30,فيردر بريمن,أوجسبورج | يلاكورة,bundesliga,مباراة فيردر بريمن و أوجسبورج | يلاكورة,https://www.yallakora.com/bundesliga/2909/match/100604/%d9%81%d9%8a%d8%b1%d8%af%d8%b1-%d8%a8%d8%b1%d9%8a%d9%85%d9%86-%d8%a3%d9%88%d8%ac%d8%b3%d8%a8%d9%88%d8%b1%d8%ac-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a
2025-01-19,19:00,هيلاس فيرونا,لاتسيو | يلاكورة,serie a,مباراة هيلاس فيرونا و لاتسيو | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100367/%d9%87%d9%8a%d9%84%d8%a7%d8%b3-%d9%81%d9%8a%d8%b1%d9%88%d9%86%d8%a7-%d9%84%d8%a7%d8%aa%d8%b3%d9%8a%d9%88-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
2025-01-19,19:30,أوساسونا,رايو فاييكانو | يلاكورة,la liga,مباراة أوساسونا و رايو فاييكانو | يلاكورة,https://www.yallakora.com/la-liga/2907/match/100389/%d8%a3%d9%88%d8%b3%d8%a7%d8%b3%d9%88%d9%86%d8%a7-%d8%b1%d8%a7%d9%8a%d9%88-%d9%81%d8%a7%d9%8a%d9%8a%d9%83%d8%a7%d9%86%d9%88-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a
